author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground;residential_complex
Новая Высота;real_estate_agent;https://www.cian.ru/rent/flat/301490381/;Москва;rent;flat;8;12;3;64.0;58000;0;Орехово-Борисово Северное;Борисовский проезд;24К1;Шипиловская;
ОЛИМПИК СТАР;real_estate_agent;https://www.cian.ru/rent/flat/302481115/;Москва;rent;flat;9;9;3;60.0;75000;0;Теплый Стан; Островитянова;22К2;Коньково;
Елена Максимченко;realtor;https://www.cian.ru/rent/flat/300508906/;Москва;rent;flat;3;11;3;76.1;60000;0;Некрасовка;Покровская ;39;Некрасовка;
Столичный Проспект;real_estate_agent;https://www.cian.ru/rent/flat/302192481/;Москва;rent;flat;8;9;3;60.0;50000;0;Гольяново;Байкальская ;15;Щёлковская;
Столичный Проспект;real_estate_agent;https://www.cian.ru/rent/flat/302019666/;Москва;rent;flat;3;9;3;80.0;58000;0;Люблино;Новороссийская ;22/31;Люблино;
Эрна Аблязова;realtor;https://www.cian.ru/rent/flat/301390967/;Москва;rent;flat;5;17;3;78.0;65000;0;Южное Бутово;бульвар Адмирала Ушакова;8;Улица Скобелевская;
Оксана Приходченко;realtor;https://www.cian.ru/rent/flat/288458238/;Москва;rent;flat;2;9;3;45.0;68000;0;Очаково-Матвеевское;Матвеевская ;1;Аминьевская;
i-deal;real_estate_agent;https://www.cian.ru/rent/flat/302397570/;Москва;rent;flat;1;17;3;74.0;70000;0;Новокосино;Салтыковская ;15К1;Новокосино;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302504597/;Москва;rent;flat;1;5;3;34.0;45000;0;Метрогородок;Открытое шоссе;21К8;Бульвар Рокоссовского;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/301592904/;Москва;rent;flat;2;9;3;65.0;60000;0;Гольяново;Щелковское шоссе;79К1;Щёлковская;
NDV Expert;real_estate_agent;https://www.cian.ru/rent/flat/302501941/;Москва;rent;flat;7;16;3;80.0;65000;0;Отрадное; Римского-Корсакова;10;Отрадное;
Маргарита Семенихина;realtor;https://www.cian.ru/rent/flat/221668930/;Москва;rent;flat;6;9;3;60.0;64000;0;Нагатинский затон;Кленовый бульвар;8К2;Коломенская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302300385/;Москва;rent;flat;18;22;3;78.0;65000;0;Южное Бутово;Скобелевская ;12;Улица Скобелевская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301389959/;Москва;rent;flat;3;9;3;60.0;65000;0;Северное Тушино;бульвар Яна Райниса;4К4;Сходненская;
Tower Estate;real_estate_agent;https://www.cian.ru/rent/flat/302504533/;Москва;rent;flat;10;20;3;53.0;75000;0;Солнцево;Боровское шоссе;2к2;Мещерская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301912108/;Москва;rent;flat;3;8;3;80.0;70000;0;Ломоносовский; Крупской;4К3;Университет;
ШАРАПОВ;real_estate_agent;https://www.cian.ru/rent/flat/302503045/;Москва;rent;flat;4;12;3;65.0;70000;0;Северное Тушино;бульвар Яна Райниса;22К1;Сходненская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301756864/;Москва;rent;flat;3;10;3;68.0;60000;0;Южное Бутово;Изюмская ;34;Улица Скобелевская;
Мой Дом - отделение Добрынинское;real_estate_agent;https://www.cian.ru/rent/flat/298697486/;Москва;rent;flat;1;9;3;68.0;63000;0;Ясенево;Голубинская ;25К2;Ясенево;
Роман Гросов;realtor;https://www.cian.ru/rent/flat/301064373/;Москва;rent;flat;7;9;3;60.0;60000;0;Печатники; Гурьянова;75;Депо;
Сабина Гахраманова;realtor;https://www.cian.ru/rent/flat/302364562/;Москва;rent;flat;1;5;3;61.0;75000;0;Южнопортовый; Трофимова;24К1;Кожуховская;
Елена Мысовская;realtor;https://www.cian.ru/rent/flat/269216763/;Москва;rent;flat;2;9;3;61.5;62000;0;Гольяново;Байкальская ;38К2;Щёлковская;
